,Unnamed: 0,rating,header,review
1084,1084,Без оценки,Ипотека,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Здравствуйте, помогите пожалуйста с проблемой, я подала документы на военную ипотеку, мне ее одобрили, мы сделали оценку квартиры, банк провел свою внутреннюю оценку, юристы просмотрели все документы и отправили в отдел риска для проставления статуса одобрения. <br><br>Это еще было 8.04, но от отдела риска тишина у них весят документы как не просмотренные, оператор который занимается моими документами отправлял им повторный запрос, но по-прежнему тишина, я уже не знаю, что делать, так как у моего сертификата есть свой срок и с хозяевами квартиры выходит срок договора, им платили залог за квартиру, и если выйдит срок по договору я потеряю квартиру и свои деньги! Помогите пожалуйста, что мне делать, как связаться с отделом риска, что бы узнать в чем дела с документами, у меня уже голова идет кругом. ПОЖАЛУЙСТА ПОМОГИТЕ!!!!!
						</br></br></div>"
1085,1085,Без оценки,Банк не принимает 2 НДФЛ и копию трудовой с ЭЦП,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-test=""responses-message"">
							Добрый день!<br/><br/>Хочу подать в ваш банк заявку на получение сельской ипотеки, но оказалось что у вас не принимают заявки с электронно заверенными справками 2 НДФЛ и копиями трудовой книжки, хотя они имеют ту же юридическую силу, что и документы оформленные на бумаге. Мой работодатель на время самоизоляции перешел на предоставление документов только в электронном виде. Прошу уточнить - есть ли какой то выход из сложившейся ситуации.<br/><br/>Спасибо!
						</div>"
1099,1099,Без оценки,Россельхозбанк просит нарушить статью 137 УК РФ. Блокировка ЛК,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Здравствуйте. <br>Сегодня пополнил карту через банкомат, после чего хотел перевести деньги на мобильный счет супруги. Сумма перевода 5 000 рублей была приостановлена до подтверждения. Для меня это необычно, так как пользовался услугами 7-ми банков РФ, и такие суммы обычно не вызывают вопросов, тем более когда платеж совершается через личный кабинет.  Попробовал повторить платеж на сумму 3 000 рублей, так-же супруге, платеж опять был приостановлен. <br/><br/>Дождался звонка представителя службы безопасности (СБ).  Представитель СБ попросил удостоверить, что это я совершаю этот перевод, и в курсе кому совершаю перевод. Я устно подтвердил, что я одобряю перевод, знаю кому и сколько денежных средств перевожу. Был готов назвать личные данные для удостоверения личности (обычно это номер паспорта, кодовое слово, дата рождения и пр.), но представитель СБ попытался неоднократно спровоцировать меня на нарушение действующего УК РФ, а именно статьи 137ч1. УК РФ Нарушение неприкосновенности частной жизни. Представитель СБ банка просил разгласить ему фамилию и имя получателя перевода (хотя, перевод осуществлялся на номер телефона, где не указывается фамилия и имя получателя).  <br/><br/>После неоднократного отказа от разглашения личной информации получателя, и уточнения, что я в курсе перевода, представитель СБ россельхозбанка, вместо того, чтобы задать вопросы касающиеся удостоверения моей личности, принял решение ЗАБЛОКИРОВАТЬ мой личный кабинет. <br/><br/>В итоге, для разблокирования личного кабинета я вынужден идти в отделение банка, и это в нынешней эпидемиологической обстановке в РФ, когда необходимо оставаться дома и не выходить на улицу без крайней необходимости. Попытки решить вопрос по телефону (50 минут в общей сложности), когда меня 3 раза переключали между сотрудниками банка, ничем не увенчались, они ничего не могут сделать.  <br/><br/>По поводу попыток сбора личной информации третьих лиц, будет написана жалоба в прокуратуру, центробанк и роспотребнадзор.  Деньги из банка заберу при первой же возможности, крайне не рекомендую никому пользоваться услугами Россельхозбанка. Всю информацию готов предоставить для проведения внутренней проверки.
						</br></div>"
1100,1100,Без оценки,Реструктуризации ипотеки - без ответа!,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Доброго дня - начну так свой негативный отзыв на банк Россельхоз! <br>Дело было 29.11.2018 года. <br>Я подавала документы на реструктуризацию ипотеки, подробно программа была описана на сайте ДОМ.рф . В срок подачи уложилась, нужно было поать до конца ноября. Подготовила все документы, и принесла в банк. Специалисты абсолютно не компитенты в этом вопросе, ничего не знают, сказали документы оставить. Оставила. Потом пыталась несколько раз связаться с сотрудниками по тел. Оказывается, был сотрудник, которая занималась этой программой, но на неё звонки не переводили и ничего сказать тоже не могли. Только ""ждите"". <br><br/>Сегодня 14.04.2020 года. Почти полтора года, никто мне ничего не ответил, ни положительного решения, ни отрицательного до меня не донесли! Под условия программ моя ситуация попадала, я рассчитывала, что будет -одобрено! Безответственность - словно документы ушли в мусорку. Документы принимал Е-ов И.Н. 29.11.2018 г. Расписка его рукой имеется! В компьютере он ничего не заводил.
						</br></br></br></div>"
1104,1104,Без оценки,Вставляют палки в колеса без видимых на это причин,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Уже несколько раз при перевод денег на другую карту через приложение, перевод приостанавливали. Требую позвонить в банк и подтвердить перевод. При этом суммы не большие. И это называется интернет банк?....что бы мне пришлось все равно звонить и подтверждать свои операции. Мы что, в 20 веке застряли?<br><br>При этом, что бы потом дозвониться до оператора, минимум 10 минут ожидать ответа, что бы он потом перевел на другого специалиста, которого тоже необходимо ждать минимум 10 минут. Я пользовался услугами достаточно многих банков, и хуже сервиса чем в этом банке, я не встречал.
						</br></br></div>"
1106,1106,Без оценки,Сельская ипотека,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Здравствуйте! Мы первый обратилась в россельхозбанк. Подали документы на сельскую ипотеку. Нам ее одобрили, мы предоставили все документы на себя т.е все, что было заявлено и указано банком. <br><br>Подыскивали квартиру и нашли такой объект в течении месяца. У нас 1 мес остался только, на сбор документов, в итоге ввели режим самоизоляции, и документы за месяц невозможно собрать. Т.к все закрыто все запросы делаются очень долго. <br><br>В общем, все документы собраны, но юристы или управляющая банком требует с продавца документ о том, что она развилась с мужем, и у них не было брачного договора, с мужем продавец развелась еще в ссср, с нас же потребовали справки от приставов об отсутствии задолженности, мы бы с радостью предоставили эти справки , но времени нет ипотека одобрена до 18.04, в других банках с связи со сложившейся ситуацией продлили срок на месяц у вас же нет, сейчас не реально за месяц собрать полный пакет требуемых банком документов, в общем информацию о задолженности от приставов можно узнать, на сайте у них, а документ от продавца, требуемый банком, не имеет никакого юридической силы.<br/><br/>Не пойму, может ваши сотрудники не компетентны в этой области, т.к очень странно, как будто бы банк не заинтересован в выдаче ипотеки, а управляющая Ш-рова С.Ю., зачем к пакету документов затребовала сейчас документ об отсутствии задолженности от приставов , мы же собирали документы на одобрение ипотеки можно было нам заранее, а не за 4 дня до окончания срока одобрения ипотеки сказать об этих справках , сейчас они делаться будут 2 недели минимум, там все закрыто, и предлагает нам заново собирать пакет документов и заново делать заявку.....просто слов нет. <br/><br/>Прошу вас разобраться в данной ситуации. <br/>Управляющий ДО 3349/54/13 г.Артем Приморского РФ.
						</br></br></br></br></div>"
1109,1109,Без оценки,Незаконное списание комиссия,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
<strong>27.01.2017, </strong>я<strong> </strong>открыла карта « Амурский тигр». Срок действия карты по  31.01.2020 г. <strong>11.01.2020 г. </strong>я обратилась в отделение банка по адресу г. Петрозаводск, пр. Ленина д.16, с целью закрыть карточный счет (по карте « Амурский тигр) и получить денежные средства.  На дату 11.012020г. сообщений о перевыпуске карты мне не поступало.  <br><br>Работник  банка М-ва Н.В. сообщила мне, что мне автоматически (без моего согласия)  выпущено новая карта, но при этом фактически в отделение банка карта еще не поступала, но с моего карточного счета была списана комиссия в размере 600 рублей, якобы за обслуживание счета за следующий период.  По ее словам, отказаться от карты я могла только написав заявление на закрытие карточного счета. <br/><br/><strong>11.01 2020</strong> <strong>г</strong> мной было написано заявление на закрытие карты и карточного счета  и заявление на возврат <strong>незаконно списанной</strong> комиссии. После этого  работником вашего банка  карта со сроком <strong>31.01.2020 г.</strong> была уничтожена. СМС сообщение  о выпуске новой карты мне пришло 20.01. 2020года. <br/><br/><strong> 22 февраля 2020 года </strong>ответа от банка  я обратилась с заявлением в личном  кабинете с просьбой разъяснить мне на каком основании была списана комиссия по карте, которую я не заказывала и  разъяснить, почему банк  даже не отвечат на заявления. <br/><br/><strong>24.02.2020 г.</strong> я получила ответ что «Амурский тигр», подлежит автоматическому перевыпуску первого числа месяца и мне необходимо было обратиться в офис с заявлением об отказе от карты до этого срока. Но:  Никаких подобных условий, в заявлении на выпуск карты в январе 2017 года я не подписывала,  на момент обращения в АО «Россельхозбанк»никаких сообщений-уведомлений о том, что мне будет перевыпущена карта «Амурский тигр» мне не поступало.  Почему комиссия банка за обслуживание карты списывается со счета еще <strong>до перевыпуска</strong> карты. Почему на мой телефон не приходили смс-уведомления о списании банковской комиссии, хотя  услуга смс-оповещения у меня была подключена и я получала смс - уведомления по другим расходам, произведенным  мной по карте.   <br/><br/>Автоматичекий  перевыпуск карты  (без уведомления меня и  моего согласия) является нарушением статьи 421 Гражданского кодекса Российской Федерации, а также нарушением закона «О защите прав потребителя». В данном случае происходит навязывание мне услуг банком и незаконное взимание оплаты за эти услуги.<br/><br/>Прошу вернуть,списанную со счета комиссию, так как  я еще раз официально подтверждаю что согласия на перевыпуск карты не давала, никаких документов не подписывала. <br/><br/>Моя старая карта «Амурский Тигр»  действовала <strong>до конца января</strong> <strong>2020</strong> года. Ответа от банка  по настоящее время нет.
						</br></br></div>"
1111,1111,Без оценки,Вклады. Верните деньги,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-test=""responses-message"">
							При обращении в офис Банка в г. ПЕРВОУРАЛЬСКЕ. 13.04.2020 сотрудники не смогли дать внятного ответа по какой причине -13.04.2020  досрочно закрылись 2 моих  счета, когда будут вклады восстановлены и возвращены денежные средства, незаконно списанные Банком . Прошу дать ответ в какие сроки будут восстановлены мои счета.. и возвращены мои денежные средства полном объеме.
						</div>"
1112,1112,Без оценки,Заблокированная карта,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-test=""responses-message"">
							Получил сегодня карту - оказалось карта заблокирована. Говоря в отделение судебные приставы, но суммы назвать не могут. в начале марта с карты было списано 200 с чем-то рублей и после этого картой стало не возможно пользоваться. В интернет банке при попытке что-либо сделать повляется ошибка, что паспортные данные устарели. Дайте, пожалуйста, ответ о причине не возможности использования карты.
						</div>"
1117,1117,Без оценки,Нет решения по Сельской ипотеки,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Обратилась 19.03 в отделение Банка для подачи документов на сельскую ипотеку .Решения нет ,звоню на горячую линию говорят ждите решения по смс .27.03звонили мне и моему руководителю по заявке . Я конечно понимаю ,что наша страна переживает не легкие времена ,,но хотелось бы какой -то конкретности .Я уже не говорю о том ,что выбранную квартиру мы уже потеряли . Очень хотелось бы узнать решения ,время идёт мы могли бы уже взять ипотеку в другом банке . Сроков конкретных рассмотрения заявки никто дать не может ,заявленных 5-7рабочих дней уже прошло .
						</div>"
1140,1140,Без оценки,Рефинансирование ипотеки длиною в 3 месяца?,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Добрый день!  <br><br>Между мной и Россельхозбанком, 11.10.2018 г. был заключен кредитный договор. Мною своевременно и в полном объеме исполняются обязательства по обслуживанию кредита. Кроме того, были внесены денежные средства, для частично-досрочного погашения кредита. Страхование жизни было оформлено в соответствии с требованиями банка, и своевременно пролонгировано.<br><br>29 января 2020 г. мною была подана заявка на рефинансирование ипотеки в рамках программы «не переплачивай», размещенной на официальном сайте банка. В дальнейшем, в течение февраля, по просьбе менеджера банка, мною оперативно предоставлялись необходимые документы. Также, по просьбе банка, мною был предоставлен оригинал нотариальной доверенности, касаемо ст. 34 Семейного кодекса.<br/><br/>11 марта 2020 г., во второй половине дня,менеджер сообщил мне, что проверка документов юристами завершена, и по ее итогам принято положительное решение. А также она сообщила, что подписывать документы необходимо строго в день списания ежемесячного платежа, установленного графиком платежей. <br/><br/>В этот день мы уже физически не успевали подписать документы, поэтому решили перенести подписание на апрельский платеж. Однако, с начала апреля я безуспешно пытаюсь дозвониться до сотрудников банка, с просьбой назначить мне место и время, для подписания документов, поскольку отделение на Свободном проспекте в списке работающих отделений, размещенного на сайте банка, не фигурирует. Никто из сотрудников не может мне сообщить, будет ли работать отделение, расположенное в г. Москва, Свободный проспект 20А, 13.04.2020 г. (дата списания ежемесячного платежа). <br/><br/>Крайне не хотелось бы переносить оформление рефинансирования на май 2020 г., поэтому прошу ответственных сотрудников обратить внимание на мое обращение, и назначить мне любое время и любое отделение в Москве, для подписания необходимых документов, 13.04.2020 г.<br/><br/>Спасибо!
						</br></br></br></br></div>"
1147,1147,Без оценки,Просьба решить данный вопрос,"<div class=""responses__item__message markup-inside-small markup-inside-small--bullet"" data-full="""">
							Здравствуйте. <br><br>Очень расстроена обслуживанием клиентов. У меня одобрена ипотека, ЖК в котором выбрана квартира уже выдает ключи... но в связи с вводом на территории самоизоляции я не могу завершить сделку. Офис в котором подавали документы (Спб, Стахановцев д.6) закрыт на карантин. Уже вторую неделю пытаюсь узнать движется ли решение вопросов по ипотеке, проверяются ли документы, дошли ли они вообще до сотрудников... <br><br>Звонила много раз на горячую линию, дают телефоны на которых просто идет сброс или вообще не существуют. ( Например: Парадная д. 5 тел. 8(812)775-35-00 доб. 6634 и 6637 за неделю ни разу не дозвонилась к ним. В субботу 4 апреля приехала в офис, где уважаемые сотрудники накричали, что я вообще к ним приперлась?!!! Должна сидеть на самоизоляции, а не по офисам ездить. Спросила могут ли они ответить на вопрос как мне быть в ипотекой, есть ли квалифицированные и знающие сотрудники, которые смогут помочь мне - ответ: звоните сотруднику, который принимал у вас документы. <br/><br/>Обьясняю им, что офис тот закрыт и спрашиваю есть ли возможность перевести в работающий... ответ сотрудницы просто убил:​ Я что должна ехать туда сама за вашими документами и везти сюда?​ На следующий день вновь звонила в колл-центр, рассказав всю ситуацию мне дали номер телефона офиса на Невском 61 тел 8(812)401-26-58 вообще номер не существует.Писала и звонила сотруднику который принимал у меня документы, но трубку он не берет, на смс и e-mail не отвечает. Сказать, что я в шоке... да нет, просто в жутком расстройстве, что не могу найти решение для моего вопроса. Никто ничего не знает. Очень прошу найти решение и связаться со мной.
						</br></br></br></br></div>"
