,Unnamed: 0,rating,header,review
10,1,Оценка:1Проверяется,Банк меняет тарифы и условия задним числом, банк задний число изменить условие тариф дебетовый карта хозяин выплатить кэшбэк операция оплата товар услуга провести май год оплата мотильный связь размер прошлое год мой карта подключить опция супер категория телекомуникация который положить кэшбэк размер соответствие пункт тариф дать информация указать непосредственно тариф протяжение несколько месяц банк исправно выплачивать кэшбэк указанный размер оплата мобильный связь признавать самый оплата мобильный связь действительно относиться категория телекоммуникационный услуга май банк выплатить кэшбэк соответствующий операция размер слово специалист горячий линия соответствующий изменение внести июнь распространить покупка совершенный май том е изменение придать обратный сила основание вышеизложенный требовать доначислить кэшбэк операция оплата услуга мсс провести май год 
11,1,Оценка:1Проверяется,нарушение закона, яявляться клиент банка иметь два дебетовый карта тп хозяин подключить категория супер категория телекоммуникация плата приложение приказ ао россельхозбанк ода тарифный план дебетовый карта хозяин выплатить май год размер вместо положить требовать пересчитать размер вознаграждение супер май год считать действие банка нарушение закон 
12,1,Оценка:1Проверяется,Отказ в обслуживании, добрый день обращаться отделение банка адрес санкт петербург ленинский проспект цель закрыть свой карта дать офис отказать обслуживание сотрудник сказать необходимый ехать отделение открывать карта накануне позвонить горячий линия банка уточнить мочь обратиться ближний отделение закрыть карта сотрудник горячий линия сказать мочь карта получать санкт петербург разный офис просить разобраться почему отказывать обслуживание посылать другой отделение мой вопрос вопрос остаться нерешенный 
13,5,Оценка:5Проверяется,Молодцы, заезжать пятница офис бердск свободный полчаса думать брать ипотека смотреть условие разный банк время обеденный работать несколько окно два женщина очередь общий взять талон сесть кресло стать ждать думать быть ждать долго сотрудник медленно работать человек проблемный мой свободный время подходить конец перед я ещё оставаться один женщина подойти сотрудник спросить долго ещё ждать ответ просто подождать начинать нервничать прошлый минута кабинет выходить женщина отдать какой бумага сотрудник тот сказать расслышать спрашивать хотеть сделать говорить ипотека узнать оказаться это руководитель офис пригласить кабинет рассказать условие документ хотеть город предложить разный вид ипотека чётко быстро вода дать визитка список документ требоваться сказать собрать позвонить назначить удобный время спасибо ирина геннадий войти мой положение рассказать сам смотреть руководитель 
14,2,Оценка:2Проверяется,Вводят в заблуждение при консультации по телефону, добрый день оставить заявка ипотека сайт банка следующий день позвонить сотрудник банка крайне довольный консультация перечислить документ подача заявка отделение банка вопрос приниматься ндфл включение июнь том июль месяц наступить время запрос новое ндфл день момент выдача ндфл ещё прошлый ответить подтвердить аккаунт гос услуга подать заявка предоставление ндфл пришлый отделение банка подача заявка сказать работать гос услуга ндфл отделение год якутск ул пушкин принять мотивировать подписант указанный синь печать наборный текст компьютер ндфл выдаваться работодатель такой образ весь сотрудник течение многое время отправляться головной офис занимать достаточно большой время просить разъяснить ситуация 
15,1,Оценка:1Проверяется,Задним числом изменили тариф, дебетовый карта хозяин задний число изменить условие выплатить кешбек покупка совершенный месяц назад дополнение к весь лишать право информация какой мсс код выплачивать кешбек это напоминать наперсточник отнюдь серьёзный банк обещать тариф платить хотеть изменять тариф задний число клиент иметь право знать мсс код бонусировать операция незачем делать тайна 
16,1,Оценка:1Проверяется,Кинули с кэшбэком, кинуть кэшбэкома предупредить изменить условие кэшбэк молчать месяц обьявить мол задний число вклад миллион рубль хранить год обьявить задний число ставка момент вложить деньга банк доказывать кинуть свой клиент доверие банка 
17,5,Оценка:5Проверяется,Спасибо за помощь, спасибо помощь сотрудник евгений быстро понять ещё быстрый помочь два убеждаться ошибиться выбор кредитный организация довольный ваш оперативность ваш компетентность надеяться дальнейший разочаровать первое обращение оч понравиться заинтересованность мой проблема два мой обращение аналогично 
18,3,Оценка:3Проверяется,"Сначала деньги просто так, а потом развод", разговор идти банка кинуть свой клиент кэшбек мсс среди рассказать история примерно год полтора назад оформить кредитный карта хозяин условие бесплатный снятие наличность банк выполнить полный объём весь кредитный лимит снятой положить депозит это позволить заработать немного деньга счёт россельхозбанк естественно выбрать категория повышенный кэшбек телекоммуникация класть деньга телефон тыр месяц стабильно получать банка тыр конец месяц узнать существовать дебетовый карта хозяин который иметь функционал сделать два результат россельхозбанк стать платить тыр каждый дебетовка сделать карта жена доход увеличиться тыр это очень нравиться решить стать привилегированный клиент банка тыр год получать несколько проход бизнес зала аэропорт благо сумма окупать кэшбек начаться пандемия вступление ряд клиент отложить примерно число июнь узнать банк менять условие начисление кэшбек дебетовый карта посмотреть условие понять карта превратиться тыква бонусный балл урожай выгодный пользователь любой товар который предлагаться маркетплейс стоять процент дешёвый один дело получать живой деньга другой фантик который потратить сайт банка ладный думать карта полка кредитка остаться гром среди ясный небо многие кэшбекер увидеть счёт весь карта пришлый рубль это май месяц банк втихаря поменять мсс начисление кэшбек данный поведение считать недопустимый понятно банк изначально сделать продукт выгодный очень полюбиться клиент тк фактически делать деньга воздух вполне логично вечно это продолжаться мочь банк исполнить свой обязательство конец том е выплатить весь положить кэшбек май июнь бомба куча негативный отзыв помнить банк помочь заработать достаточно неплохой сумма деньга такой подстава сожаление перечеркнуть поэтому поставить ранний жалко клиент такой условие становиться хотеться никакой зло банк дерзить самый организация желать достойный управленец который держать слово выявить стратегический ошибка достойно честь быть выходить больший прозрачность бонусный программа банк отображать мсс код начисление кэшбек делать честь злоупотребление быть жить такой время финансовый грамотность скоро остаться штаны понять красивый жизнь это делать кредитка закрывать быть просто сменить категория пока оставаться клиент 
19,1,Оценка:1Проверяется,"Многоженство проблем в обслуживании, в т.ч. сохранность ПД", итак нужно получить моментальный карта офис сказать узнавать наличие горячий линия горячий линия бегать офис нужно восстановить карта сожаление офис работать учёт пробка попасть который выдать удаваться работа поехать ближний ответ стиль сбер идти туда открывать век обойти банк стороной заказать карта ехать офис менее х неделя практика месяц открыть накопительный счёт процент снизить предупредить нигде мужчина прийти узнать перевод банка рамка платёжный система уточнить направить офис сотрудник платёжный система мужчина долго пытаться выяснить знаете закончиться заведовать сказать отделение это сделать отправить бедолага узнавать центральный офис парадный том е позвонить центральный офис мочь это спб закуска пд утерять карта выдавать явно молодая опытный сотрудница симпатичный сложиться ксерокопия мой паспорт разорвать страница ксерокопия пополам тупо положить мусорный вёдро свой стол обходить стороной нелепость 
20,5,Оценка:5Проверяется,Благодарность сотрудникам, день посетить отделение год петрозаводск пр ленин приятно удивить проживать постоянно друг посёлок возникнуть необходимость воспользоваться услуга банка обратиться офис центр город офис небольшой важный соблюдать дистанция сотрудник перчатка маска очки молодая человек помочь взять талончик электронный очередь девушка который обслуживать юридический лицо свободный это время вызвать необходимый оформить доверенность сотрудник гришанов кристина подробно рассказать необходимый оформить также понимать жить район посёлок предложить подключить услуга который смочь самостоятельно отслеживать свой счёт делать перевод внучка который также открытый счёт банка телефон приложение телефон помочь установить рассказать делать важный контролировать начисление процент расходование находиться далеко кристина предложить другой вклад возможно подумать следующий приезд оформить внучка точно быть рекомендовать офис спасибо большой пенсионер важный именно такой отношение помощь главный рассказать подробно понятно простой язык дать визитный карточка офис 
21,1,Оценка:1Проверяется,Страхование жизни при ипотеке долевого строительства, добрый день подавать заявка ипотека госпрограмма долевой строительство оформление заявка уточнять дополнительный платёж сказать страховка сказать стоить район тысяча рубль нормальный одобрить договориться застройщик оформить договор передать банк день подписание кредитный договор уточнять конкретный сумма страхование сколько мы необходимый подготовить выясняться должный оформить комплексный страховка объект который жизнь компания банка люба аккредитованый банк страховой компания сумма раз изначальный раз аккредитовать страхов отказ страховка сказать нужно подавать заявка повторно повторный предоставление документ это такой срок рассмотрение ещё месяц думать застройщик столько держать бронь квартира это просто потеря время нерв говорят навязывать предлагать 
22,1,Без оценки,Банк с подмоченной репутацией, господин админ запретить новорег писать отзыв банка мало крупный банк кидать свой клиент программа лояльность ещё видимо заставлять свой сотрудник писать положительный отзыв свой банка работать это просто некрасиво непорядочно должный размещаться отзыв реальный клиент 
23,5,Оценка:5Проверяется,Хороший банк, отзыв работа отделение год энгельс саратовский область россельхозбанк интересовать ипотека считать необходимый лично посетить отделение банк узнать условие выбирать долго сравнивать общий подходить очень основательно дать вопрос июнь пришлый россельхозбанк год энгельс минута окончание рабочий день ипотека работать окно оба занятый клиент решить успеть расстроиться следующий день выходной сотрудник анастасий принять окончание рабочий день объяснить условие ипотечный заём посвятить минута свой время дать визитка номер телефон мочь уточнить возникать вопрос условие ипотека неплохой достаточно хороший сложиться впечатление основный направление ипотечный думать принести справка подача заявка банк это сотрудник возникнуть форс мажор время точно уйти люба этап сделка довести конец 
24,5,Оценка:5Проверяется,Обращались по потребительскому кредиту, обращаться кредит очень грамотный специалист обслуживать подробно разъяснить консультировать рабочий время условие кредитование предложить самый оптимальный сравнение другой банка вечером подать заявка следующий день утром одобрение назначить время телефон подъехать документ готовый подписать получить деньга работа банка остаться очень довольный персонал спасибо работа экономия время клиент 
25,1,Оценка:1Проверяется,Неправомерные действия, добрый день являться клиент банка год дата очередной платёж ипотека банк односторонний порядок повысить ставка увеличить ежемесячный платёж соответственно начислить штраф пеня несвоевременный уплата разница платёж договор страхование следующий страховой период начинаться своевременно продлить дата заключение договор передать отделение банка новослободский вместе копия квитанция оплата обратиться отделение разъяснение удаться выяснить причина изменение условие односторонний порядок отметка договор страхование предоставить внести база я подать заявление банк разъяснение сложиться ситуация ответ поступать просить банк восстановить условие прописать договор также переплатить июнь сумма ежемесячный платёж удержать штраф пеня хотеть отметить год отношение банк раз допускать просрочка платёж ситуация крайне неприятный 
26,1,Оценка:1Проверяется,Ужасно долгое оформление карты и ничего незнающая техподдержка, середина май открыть россельхозбанк ипотека гасить поездка банк подать заявка открытие дебетовый карта который слово менеджер должный сделать привезти неделя максимум причём карта нужно ехать именно это отделение банка странно допустить приключение начаться поздний неделя два месяц полтора карта пахнуть приложение статус меняться самый начало открытие счёт звонить два неделя назад сказать знать сказать карточка находиться транспортировка неизвестно транспортировка заниматься другой компания позвонить сегодня федеральный контактный центр предоставить никакой информация кроме номер телефон отделение банка минута сегодня они разговаривать пытаться понять вообще мочь сделать видимо менеджер который оформлять карта брать трубка контактный центр новосибирск изначально раз просто сбрасывать набирать проходить ввод код слушать несколько длинный гудков просто сбрасывать трубка итог сотрудник взять трубка сказать это порядок срок должный уточнить транспортник кто подобный обещать перезвонить час перезвонить сказать качество заключение пока современный банка оформлять карта пара день мочь привезти ты домой рсх делать это полтора месяц техподдержка оставлять желать хороший 
27,1,Оценка:1Проверяется,Исполнительное производство, офис банка адрес пресненский набережная далее я представитель лепешонков копия доверенность приложить подать заявление исполнительный лист взыскание денежный средство ооо польза манохин е заявление лист принять сотрудник банка торган решение суд сей пора исполнить попытка связаться кто сотрудник бесполезный контактный центр ничто помочь также переключить сотрудник который компетентный вопрос связь онлайн форма банка работать обращение ответ 
28,5,Оценка:5Проверяется,Сельская ипотека, обратиться отделение россельхозбанк город семикаракорск ростовский область вопрос ипотечный кредитование персонал банка квалифицированно рассказать преимущество данный вид кредит заодно посоветовать подать заявка льготный кредитование благодаря слаженный работа работник банка май год стать обладатель квартира большой благодарность управлять отделение год семикаракорск сувакова год специалист кредитование васильев ю 
29,5,Оценка:5Проверяется,В своем любимом банке!, добрый день хотеть поделиться свой мнение такой банка россельхозбанк город новоалександровск один год обслуживаться банка мочь сказать очень рада выбор банка который доверять остановиться именно немой являться пенсионерка сложно угнаться прогресс поэтому искать банк быть работать грамотный терпеливый добрый человек именно такой сотрудник работать россельхозбанк относиться клиент внимательно доброта готовый помочь любой вопрос год прийтись столкнуться незнакомый продукт сельский ипотека сложно понимать тонкость что свой любим банка работать мы гальцов евгений специалист который обладать профессиональный качество просто душевный человек весь процесс оформление ипотека пройти лишний хлопоты евгений внимательный к весь участник сделка итог довольный оба сторона продавец покупатель короткий срок решить проблема задача сразу несколько человек спасибо руководитель сотрудник тёплый отношение ваш простой работа добросовестность профессионализм ваш клиент савченко светлана георгий 
30,1,Оценка:1Проверяется,Отсутствие раскрытия информации по тарифному плану, тарифный план дебетовый карта хозяин предусмотреть начисление кэшбек различный категория покупка например телекоммуникация аптека поскольку основной характеристика операция отнесение тот иной категория являться мсс код совершенно очевидно клиент необходимый совершение покупка понимать иной мсс код входить выбрать начисление кэшбек категория принять решение использование карта дать покупка том другой банка другой карта чётко известно какой мсс код процент кэшбек бонусироваться однако тарифный план приложение он условие кбо либо документ банка доступный ознакомление дать информация содержимый том е клиент предлагаться суть делать покупка вслепую заранее знать попадать тот иной операция вознаграждение это становиться известно конец месяц следующий расчётный месяц покупка производиться начисление вознаграждение операция который прошлое месяц бонусируть становиться бонусируть повышенный ставка том банк исключить информация бонусировать мсс код изменение банк предоставлять иметь место недобросовестный реклама сокрытие клиент существенный информация который понимать кэшбек тот иной операция горячий линия контакт центр также отказываться сообщать данный информаци 
31,1,Оценка:1Проверяется,Отказ в предоставлении информации по действующему тарифу, являться владелец карта данный банка тариф дебетовый карта хозяин тариф подключить опция повышенный азссупер телекоммуникация связь россельхозбанк менять свой условие тариф несколько неделя решить позвонить горячий линия телефон уточнить информация действующий тариф сотрудник банка отказаться предоставить информация код который начисляться кэшбэк ссылаться внутренний правило банка который банк обязать сообщать код который начисляться кэшбэк это информация отсутствовать сайт банка считать это умышленный введение заблуждение клиент банка цель получение незаконный доход 
32,1,Оценка:1Проверяется,В банке не работает Система быстрых платежей (а к тому же украли кэшбек), банк суть украсть кэшбек карта хозяин быть описывать весь известно сегодня пытаться перевести деньга система быстрый платёж система работать перевод возвращаться ошибка минута потратить горячий линия составление заявка заявка составить быстренько ответить рекомендовать повторить перевод попробовать снова получить тот ошибка рекомендовать пробовать час обратный связь исправление ситуация сказать предоставить мочь сказать исправлять мочь день очень уважаемый связь воровство кэшбек рсхб тестировщик наниматься просить исправить проблема сбп уведомить решение вопрос рамка нр звонок контактный номер вспомнить один банка претензия офис невский супруга прислать июнь получить перевод контакт перевод выдать сказать система работать записать номер наш обещать позвонить исправить удивлённый звонок сей пора 
33,1,Оценка:1Проверяется,Странное чувство юмора у банка., обращаться банк вопрос закрытие счёт отделение говорят закрытый иб висеть статус готовиться закрытие выписка налоговый дать счёт числиться открытый навести порядок свой система сегодня пришлый смс списание судить весь налоговый задолженность средство накопительный счёт списать морозить нулевой карта задрать простить свой голосовой навигация коллцентр круг предалагать поговорить автоинформатор доступный остаток пробиться живой человек ждать минута администрация совокупность учёт предыдущий отзыв 
