rating,header,review
1,Сельская ипотека - это очень мутная штука,здравствуйте я продаю свой новый дом со всеми коммуникациями оформленный в долевую собственность всех членов семьи т к мск мои покупатели клиенты рсхб обнадежили меня одобренной сельской ипотекой я предоставила в банк пакет документов оригиналов по объекту а покупатели заказали оценку все документы и оценка прошли проверку юристов банка и были отправлены на одобрение в минсельхоз мы ходили в этот офис ежедневно как на работу сначала были вопросы по объекту типа если доли несовершеннолетних то нельзя продавать это с юристами уладили непрофессионализм сотрудников допофиса зашкалил то они сами звонили приходите быстрей потом объект не подходит потом ипотека остановилась потом нет вроде заявки принимаем потом ура отправили в минсельхоз звонит товарищ из банка и говорит что прошло одобрение минсельхоза тащите бумажку что все выписались и разрешение опеки покупатели отдали задаток а я его вместе с авансом отдала за новый объект в котором будут выделены доли детям чтоб опека дала добро и опа менеджер оказывается не туда посмотрел и минсельхоз не только не одобрил а вообще прикрыл программу я просто в шоке как такое возможно как такие недоумки могут работать с финансами жалобы в центральный офис и на горячую линию своих плодов не принесли обратной связи как не было так и нет за халатность нужно будет ответить готова идти в суд а в идеале напишем коллективный иск вместе со всеми пострадавшими от сельской ипотеки вообще и банковских работников рсхб в частности если мы потеряем деньги это будет очень неприятно особенно перед голосованием за поправки и думаю что некоторые уже сообщили об этом президенту в личном обращении надеюсь что с июля всё таки выдача кредитов по сельской ипотеке возобновится нам селянам и так несладко а тут такое надеюсь на адекватный ответ спасибо
1,Россельхозбанк обманул,россельхозбанк обманул июня г при обращении в банк по поводу размещения свободных денежных средств нашей семьи в сумме рублей моей жене предложена очередная программа банка рублей разместить на вклад сроком на один год под годовых рублей разместить по договору страхования жизни с выплатой дополнительного инвестиционного дохода ежегодно купонный доход сроком на лет до г кухонный доход предлагался в размере годовых или можно внести вклад в размере рублей под годовых конечно мы выбрали программу как наиболее доходную в результате купонный доход в г составил ноль рублей соответственно у нас утрачено доверие к банку и я вынужден расторгнуть договор страхования так как теперь у меня нет уверенности в возврате моих денежных средств я потеряю от суммы вложений примерно рублей в моей жизни это в первый раз внес в банк рублей а забрал рублей незаконное пользование деньгами плюс циничный обман предлагаю сделки привести в первоначальное состояние вкладчик клиент банка мамынова татьяна константиновна написал супруг мамынов андрей николаевич
н,Открытие дебетовой карты по нотариальной доверенности,позвонил в кц по вопросу открытия дебетовой банковской карты по нотариальной доверенности сотрудник кц сказал что открыть карту по нотариальной доверенности нельзя ссылаясь на внутренний регламент банка хочу услышать официальную позицию банка могу ли я открыть дебетовую карту на пожилых родителей по нотариальной доверенности в городе кирове не могут же внутренние инструкции банка протеворичить гражданскому кодексу в доверенности полномочия на получение и открытие банковской карты указаны пока не стал ставить плохую оценку жду официального ответа банка
1,Жалоба на действие сотрудников банка. Скорее всего это служба безопасности,самое отвратительное отношение к клиенту банка за мою жизнь при снятии тыс руб устроили целую эпопею запрашивают документы происхождение средств ссылаясь на какой то закон пока дня не могу снять честно заработанные деньги при этом сам попадаю на проценты после того как передал документы подтверждающие доход говорят ждать нужно дня итого я могу прождать больше недели без своих денег нормально да дорогая служба безопасности обращаюсь к вам чтобы и в вашей жизни попадались такие люди когда совершенно бесполезная служба вроде вас мешала вам жить вы лучше ищите людей мошенников которые снимают деньги с карточек людей обманывают по телефону и т д занимаетесь ерундой подводите весь обслуживающий персонал банка уходят от банка клиенты из за такого отношения работаю официально доход в налоговой числится налоги плачу и итог не могу получить свои деньги всего вам хорошего это была моя последняя операция у вас
1,Как Россельхозбанк грабит своих клиентов,тюменский филиал ао россельхозбанк обманным путем повысили ставку по страхованию кредитного договора от г в три раза апреля г банк сообщил что поднял ставку по кредиту с до из за отсутсивя страховки апреля я написала заявление на страховаие в банке на сумму р платеж внесла в тот же день сотрудник банка фадеева выдала мне график платежей по страховке и заверила что ставка по кредиту уменьшится до выяснилось что не уменьшили сославшись на то что мне нужно доплатить по страховке руб в сторонней страховой комп страховка стоит около т р банк не выдал мне договор по страховке на руки повышение обосновывют тем что в предыдущие года я не платила страховку на вопрос почему в апреле была одна сумма а теперь в раза больше ответить не могут мне пришлось в мае переплатить около т р страховка и повышенный платеж по кредиту на мою жалобу они дали ответ проигнорировав мои требования дать мне основания повышения страхового взноса в раза и пишут что я лишь мая предоставила заявление на страхование в банк на устыне впоросы пожимают плечами более того когда я писала жалобу сотрудница банка заявила что если я подам эту жалобу то банк пересчитает мне платежи за предыдущие года без страховки по повышенным и загонит меня в долги все документы у меня на руках кроме договора по страховке потому что мне его не выдали мало того что они отказывают в понижении ставки с платеж составляет руб теперь еще и грабят средь белого дня без оснований если бы я изначально апреля знала что страхование в банке стоит а не руб как изначально банк предоставил информацию и я тут же оплатила эту сумму то застраховала бы квартиру и жизнь в другой страховой компании считаю что они обманным путем заработали на мне в мае прошу провести проверку с уважением быченко т в в деталях ситуацию я описала здесь
н,Сельская ипотека это Русская рулетка,нам одобрили сельскую ипотеку в конце мая счастья не было предела осталось дождаться подтверждения от мсх рф и мы выходим на сделку июня нам позвонили и сообщили что все приостановили и остается только ждать прождали две недели прочитали что правительство увеличило финансирование по данной ипотеки появилась маленькая надежда что нам выдадут кредит позвонила сегодня на горячую линию спросила не возобновилось ли финансирование мне ответили сельская ипотека работает и финансирование возобновилось опять надежда звоню в свою ярославскую область спрашиваю про свою ипотеку а мне ответили что финансирования нет и ждать не известно когда продавец ждет еще неделю а потом мы теряем свои вложенные деньги за оценку и задаток я очень рада что кому то повезло и успели оформить сельскую ипотеку а нам к сожалению не повезло спасибо сотрудникам банка они всячески помогали в сборе документов и было видно что за нас переживали не ставлю ни какой оценки все таки до конца недели буду до последнего надеяться на лучшее
1,Нижний Новгород,в результате технического сбоя произошедшего моя карта была заблокирована позвонил на гл где мне и сказали про сбой и сообщили что для решения проблемы нужно обращаться в отделение в отделении мне сказали что нужно личное посещение в связи с эпидемией а в нижегородской области даже не сняты ограничения я нахожусь в км от отделения и в город ехать не планирую почему по вине банка я должен ехать в город тратить на это время и деньги да еще и подвергаться риску заражения посещая многолюдные места почему нельзя разблокировать карту по обращению на гл ведь я полностью идентифицировался по паспорту и кодовому слову и на каком основании банк из за своей ошибки оставил меня без моих же денег требую чтобы разблокировали мою карту безо всяких посещений
1,Списание банком средств материнского капитала,добрый день был получен сертификат на получение материнского капитала ипотека в банке россельхозбанк договор от июля года дс поступили в банк в размере р банк самостоятельно без получения от меня согласия заявления списал дс и изменил график платежей некорректно по новому графику до г я должна погашать проценты по тыс руб а после г возврат к первонач ежемес платежу руб до получения дс по мск я спрашивала у специалиста о заявлении на чдп кредита и сроках его написания ответ специалиста после поступления денежных средств о необходимости написать заявление о чдп кредита в течение дней до или после поступления средств мск мне не было сообщено об этом мне сообщили только после отказа принимать заявление тем более что о готовности рассмотрения заявления на распоряжение средствами мск я получила от мфц г до этого банк не сообщал о том что деньги поступили на счёт и необходимо срочно написать заявление на чдп мая г в офисе г уфа ул гагарина я написала заявление на чдп кредита средствами мск а мая г выяснилось что заявление банком не принято из за несвоевременного направления мая г повторно обратилась в банк с заявлением о корректировке графика при этом письменное заявление от меня не взяли специалист кредитного отдела посмотрев график платежей в программе подтвердила что график действительно некорректный и что это возможно ошибка из за новой программы и написала письмо по эл почте с просьбой исправить график мая г еду в офис узнавать о сроках корректировки графика на что получаю опять тот же ответ заявление направлено несвоевременно при этом у специалиста банка было письмо от есц о том что есть возможность изменить график путём написания заявления на чдп путём уменьшения количества ежемесячных платежей изначально я писала на уменьшение размера ежемесячных платежей поэтому я написала новое заявление от г на погашение кредита средствами мск путём уменьшения количества ежемесячных платежей т о банк нарушил мое право заемщика на распоряжение средствами и намеренно не принимает у меня заявление на чдп тем самым обогащается за счёт средств мск т к по примерным расчётам которые я произвела в онлайн калькуляторе на досрочные погашения банк сделав некорректные изменения в графике рсхб остался в плюсе на тыс руб по сравнению если бы банк приняли мое заявление на чдп на уменьшение срока кредита при том что согласно п кредитного договора чдп возможен путём выбора заемщиком одного из вариантов изменения количества ежемесячных платежей или уменьшения размера ежемесячных платежей при этом плановые платежи изменяются пропорционально даже если я подала заявление несвоевременно самовольно внесённые изменения банком в график платежей несоответствуют данному пункту договора и нарушают мои права прошу во избежание обращения мною в суд и цб где я буду вынужден рассказывать о нарушениях банка россельхозбанка в отношении своих заемщиков при использовании материнского капитала средств предоставленных и гарантированных государством помочь разобраться в данном вопросе прошу руководство банка произвести перерасчет денежных средств внесенного материнского капитала в счет погашения основного долга и процентов с уменьшением общего срока кредита по ипотеке претензия зарегистрирована г в офисе башкирского филиала рсхб г уфа ул гагарина под ответа до сих пор нет но чувствую что на претензию откажут и придется обращаться в суд
н,Сельская ипотека,добрый день проучили одобрение по программе сельская ипотека в апреле получили список необходимых документов в банк для одобрения выбранного объекта недвижимости в том числе требовался отчёт об оценке и справка с администрации мо о соотвествии объекта недвижимости жилому помещению справки по задолженностям документ о разрешении на ввод в эксплуатацию дома сведения исогд где приобретается объект недвижимости начались хождения по мукам отчёт об оценке рублей чтобы получить справку с администрации о соотвествии нужно заключение сэс делается дней стоит рублей запрос исогд через мфц стоит рублей справки о задолженности по рублей и это все в условиях карантина когда все работают на половину если вообще работают все документы по объекту недвижимости собрали отправили в банк по электронной почте с большим остатком времени по действующему одобрению выдохнули все успеем продавец терпеливо ждёт после всех испытаний и потраченных денег звонок из банка ипотека приостановлена ждите денег нет как вообще такое возможно если ипотека одобрена значит деньги должны быть под одобренную заявку если требуются документы на объект недвижимости для проверки этого же объекта люди смело тратят деньги так как не предполагают что их могут обмануть теплюсь надеждой что все таки нас дождётся продавец и банк возобновит финансирование
1,Навязывание карты,эта история началась в марте месяце у меня закончился срок действия карты амурский тигр пришла в офис на м сходненская попросила новую карту распечатали заявление спросила про обслуживание оказалось платным сказали рублей меня платное обслуживание карты совершенно не устраивает заявление не подписывала сказала что не нужна такая карта но несмотря на неподписанное мной заявление новая карта появилась почему то на сайте причем с долгом руб далее велась безрезультатная переписка с сотрудниками где они предлагали либо придти в офис и написать претензию т ва ю либо уверяли что навязывание карты предусмотрено договором п кая в к к и последние уверяли что предусмотрен автоматический перевыпуск если за месяц не предупредишь об отказе от перевыпуска противоречие т к за несколько месяцев до окончания срока действия предыдущей карты неоднократно звонила на горячую линию и спрашивала про новую карту предлагалось придти в офис и написать заявление ни о каком автоматическом перевыпуске речи не велось далее еще пришла смс что навязанная мне карта ожидает меня в офисе июня попыталась обратиться в офис чтобы написать претензию но закрытые двери офиса банка у м сходненская приятно удивили меня как и все предыдущие действия сотрудников банка
н,Прошу помочь в сборе документов по объекту для ипотеки,добрый день прошу представителей банка помочь в сборе документов по сельской ипотеке в настоящий момент есть одобрение от банка передан задаток по продавцу сделана оценка но возникают сложности со специфическими справками в частности требуется такой документ документ подтверждающий соответствие жилого помещения а также указания информации что объект в реестре ветхого и аварийного не состоит за исключением жилых помещений приобретаемых по договору участия в долевом строительстве договору уступки прав требования по указанному договору дополнительным требования к объектам недвижимости в рамках кредитного продукта ипотечный кредит с льготной процентной ставкой для граждан российской федерации на строительство приобретение жилого помещения на сельских территориях указанным в подпунктах пункта настоящих требований установленное комиссией созданной органом местного самоуправления а также высшим исполнительным органом государственной власти г севастополя или органом исполнительной власти г севастополя уполномоченным высшим исполнительным органом государственной власти г севастополя на основании постановления правительства российской федерации от об утверждении положения о признании помещения жилым помещением жилого помещения непригодным для проживания многоквартирного дома аварийным и подлежащим сносу или реконструкции садового дома жилым домом и жилого дома садовым домом к сожалению справки такого вида не выдаются ни в мфц ни в бти в администрации сельского поселения так же похожих справок нет отмечу что уже оплачена и передана в банк оценка независимого аккредитованного оценщика возможно этой оценки будет достаточно для получения ипотеки если же нет и такая справка все таки нужна можете ли обозначить инстанцию где такую справку выдают и ее официальное название приобретаемый объект находится на территории ростовской области в аксайском районе аналогичная проблема с такой справкой единый жилищный документ срок действия календарных дней с даты оформления или справка о наличии зарегистрированных лиц либо документ ее заменяющий для жилых помещений срок действия календарных дней с даты оформления документ может не предоставляться в случае если размер кредита составляет не более от стоимости приобретения объекта недвижимости залоговой стоимости объекта недвижимости в случае предоставления кредита на рефинансирование и объект недвижимости приобретен в результате совершения возмездной сделки например заключения договора купли продажи по информации из мвд справки о том что никто не прописан упразднены и более не выдаются в мфц подобных справок так же нет в паспортном столе говорят что у них уже давно нет информации кто прописывается и выписывается из домов единый жилищный документ насколько я понимаю вообще бывает только в москве возможно если сумма первоначального взноса будет более такая справка для ипотеки так же не нужна прошу помочь с указанными справками т к истекает срок оформления документов в рамках переданного задатка
